ID,Affiliation,Most significant hurdle?,Onboarding Complexity,TImeline to receive first Government Contract award?,What do you perceive as the biggest barriers for small businesses pursuing their first federal contract? (Select up to 3),What single change can reduce barriers?,Most challenging factors for Small Businesses to enter marketplace,Needed resources? ,Which stage of the onboarding process would benefit most from simplification?
1,Small business owner/employee seeking government contracts,"DUNS/UEI number acquisition, SAM.gov registration complexity, Small business certification processes",4,6-12 months,"Identifying appropriate contract opportunities, Understanding evaluation criteria, Understanding solicitation requirements",Better direction on where to start ,"Administrative burden of registration and compliance, Resource constraints","Better training materials and workshops, Centralized ""getting started"" portal with step-by-step guidance, More small business set-aside opportunities",Initial registration (SAM.gov certifications)
2,Government employee involved in procurement/contracting,"Cybersecurity requirements, SAM.gov registration complexity, Understanding where/how to begin",3,2-3 years,"Competing against more experienced businesses, Developing competitive pricing strategies, Understanding evaluation criteria",Recent EOs,"Knowledge gap about federal procurement processes, Navigating complex solicitation requirements","Better training materials and workshops, Centralized ""getting started"" portal with step-by-step guidance, Mentorship programs with experienced contractors",Initial registration (SAM.gov certifications)
3,Employee of large government contractor,"Finding the right points of contact, Navigating multiple systems/websites, SAM.gov registration complexity",5,More than 3 years,"Competing against more experienced businesses, Meeting past performance requirements, Understanding evaluation criteria",Simplifying registration process and systems ,"Administrative burden of registration and compliance, Navigating complex solicitation requirements","Centralized ""getting started"" portal with step-by-step guidance, Simplified registration processes, Standardized proposal templates",Proposal development and submission
4,Employee of large government contractor,"Cybersecurity requirements, SAM.gov registration complexity, Understanding where/how to begin",5,1-2 years,"Competing against more experienced businesses, Meeting past performance requirements, Understanding solicitation requirements",,"Administrative burden of registration and compliance, Knowledge gap about federal procurement processes","Centralized ""getting started"" portal with step-by-step guidance, Dedicated small business liaisons at agencies, Simplified registration processes",Initial registration (SAM.gov certifications)
5,Small business owner/employee seeking government contracts,"Cybersecurity requirements, SAM.gov registration complexity, Small business certification processes",5,2-3 years,"Competing against more experienced businesses, Developing competitive pricing strategies, Understanding solicitation requirements",Small business Set asides based on revenue ,"Knowledge gap about federal procurement processes, Navigating complex solicitation requirements","Better training materials and workshops, Centralized ""getting started"" portal with step-by-step guidance, Mentorship programs with experienced contractors",Understanding solicitation requirements
6,Small business owner/employee seeking government contracts,"Cybersecurity requirements, Finding the right points of contact",5,2-3 years,"Building relationships with contracting officers, Meeting compliance standards with limited resources, Meeting past performance requirements",Greater enforcement of subcontracting requirements including a requirement to enforce workshare agreements,"Navigating complex solicitation requirements, Resource constraints","Centralized ""getting started"" portal with step-by-step guidance, Mentorship programs with experienced contractors, More small business set-aside opportunities",Understanding solicitation requirements
7,Government employee involved in procurement/contracting,"Cybersecurity requirements, Finding the right points of contact, Small business certification processes",4,Unsure,"Developing competitive pricing strategies, Identifying appropriate contract opportunities, Understanding solicitation requirements","Standardize plain language, instruction, registration. Provide resources of how to place and properly price and respond to opportunities.","Knowledge gap about federal procurement processes, Navigating complex solicitation requirements","Dedicated small business liaisons at agencies, Mentorship programs with experienced contractors, Plain language guides to requirements",Understanding solicitation requirements
8,Small business owner/employee seeking government contracts,"Cybersecurity requirements, Finding the right points of contact",1,6-12 months,"Building relationships with contracting officers, Competing against more experienced businesses, Meeting compliance standards with limited resources",Getting rid of long sales cycles. ,"Competition from established contractors, Navigating complex solicitation requirements","More small business set-aside opportunities, Standardized proposal templates",Post-submission communication
9,Employee of large government contractor,"Cybersecurity requirements, Navigating multiple systems/websites",2,More than 3 years,"Identifying appropriate contract opportunities, Meeting compliance standards with limited resources",,"Administrative burden of registration and compliance, Navigating complex solicitation requirements","More small business set-aside opportunities, Simplified registration processes",Finding relevant opportunities
10,Small business owner/employee seeking government contracts,"Cybersecurity requirements, Small business certification processes, Understanding where/how to begin",3,2-3 years,"Meeting compliance standards with limited resources, Meeting past performance requirements, Understanding solicitation requirements",,"Competition from established contractors, Navigating complex solicitation requirements","Centralized ""getting started"" portal with step-by-step guidance, Simplified registration processes, Standardized proposal templates",Initial registration (SAM.gov certifications)
11,Small business owner/employee seeking government contracts,"Cybersecurity requirements, Navigating multiple systems/websites, Understanding specialized terminology",5,1-2 years,"Competing against more experienced businesses, Identifying appropriate contract opportunities, Meeting past performance requirements",Subcontract opportunities listed with opportunities to engage with Primes to get our foot in the door.,"Competition from established contractors, Navigating complex solicitation requirements","Centralized ""getting started"" portal with step-by-step guidance, Dedicated small business liaisons at agencies, Standardized proposal templates",Finding relevant opportunities
12,Small business owner/employee seeking government contracts,"DUNS/UEI number acquisition, SAM.gov registration complexity, Understanding where/how to begin",4,More than 3 years,"Building relationships with contracting officers, Competing against more experienced businesses, Creating compelling proposals",,"Competition from established contractors, Navigating complex solicitation requirements","Mentorship programs with experienced contractors, More small business set-aside opportunities, Plain language guides to requirements",Finding relevant opportunities
13,Small business owner/employee seeking government contracts,"Finding the right points of contact, Small business certification processes, Understanding where/how to begin",4,More than 3 years,"Building relationships with contracting officers, Developing competitive pricing strategies, Meeting past performance requirements",,"Administrative burden of registration and compliance, Knowledge gap about federal procurement processes","Centralized ""getting started"" portal with step-by-step guidance, Mentorship programs with experienced contractors, More small business set-aside opportunities",Proposal development and submission
14,Government employee involved in procurement/contracting,"Cybersecurity requirements, Time required to complete registrations",3,6-12 months,"Competing against more experienced businesses, Identifying appropriate contract opportunities, Meeting past performance requirements","Contracting officers considering alternatives to past performance, in accordance with the FAR","Competition from established contractors, Resource constraints","More small business set-aside opportunities, Plain language guides to requirements, Simplified registration processes",Understanding solicitation requirements
